Country,WHO Region,Total Confirmed Cases,Total Probable Cases,Total Deaths
安道尔,European Region,4,0,0
阿根廷,Region of the Americas,1136,0,2
阿鲁巴岛,Region of the Americas,3,0,0
澳大利亚,Western Pacific Region,156,0,0
奥地利,European Region,345,0,1
巴哈马,Region of the Americas,3,0,0
巴林,Eastern Mediterranean Region,2,0,0
巴巴多斯,Region of the Americas,1,0,0
比利时,European Region,805,0,2
贝宁,African Region,3,0,0
百慕大,Region of the Americas,1,0,0
玻利维亚,Region of the Americas,265,0,0
波斯尼亚和黑塞哥维那,European Region,9,0,0
巴西,Region of the Americas,10967,349,16
保加利亚,European Region,6,0,0
柬埔寨,Western Pacific Region,13,0,0
喀麦隆,African Region,45,0,3
加拿大,Region of the Americas,1467,77,0
中非,African Region,30,0,1
智利,Region of the Americas,1449,26,3
中国,Western Pacific Region,2031,0,1
哥伦比亚,Region of the Americas,4090,0,0
刚果,African Region,37,0,2
哥斯达黎加,Region of the Americas,225,0,0
克罗地亚,European Region,33,0,0
古巴,Region of the Americas,8,0,1
库拉索岛,Region of the Americas,3,0,0
塞浦路斯,European Region,5,0,0
捷克,European Region,78,0,1
刚果,African Region,1605,0,2
丹麦,European Region,198,0,0
多米尼加,Region of the Americas,52,1,0
厄瓜多尔,Region of the Americas,557,1,3
埃及,Eastern Mediterranean Region,3,0,0
萨尔瓦多,Region of the Americas,104,0,0
爱沙尼亚,European Region,11,0,0
芬兰,European Region,43,0,0
法国,European Region,4195,0,0
格鲁吉亚,European Region,2,0,0
德国,European Region,3816,0,0
加纳,African Region,127,0,4
直布罗陀,European Region,6,0,0
希腊,European Region,91,0,0
格陵兰,European Region,2,0,0
瓜德罗普岛,Region of the Americas,1,0,0
关岛,Western Pacific Region,1,0,0
危地马拉,Region of the Americas,405,5,1
圭亚那,Region of the Americas,2,0,0
洪都拉斯,Region of the Americas,44,0,0
匈牙利,European Region,83,0,0
冰岛,European Region,17,0,0
印度,South-East Asia Region,27,0,1
印度尼西亚,South-East Asia Region,84,0,0
伊朗,Eastern Mediterranean Region,1,0,0
爱尔兰,European Region,245,0,0
以色列,European Region,293,0,0
意大利,European Region,1028,0,0
牙买加,Region of the Americas,21,0,0
日本,Western Pacific Region,240,0,1
约旦,Eastern Mediterranean Region,1,0,0
老挝,Western Pacific Region,1,0,0
拉脱维亚,European Region,6,0,0
黎巴嫩,Eastern Mediterranean Region,27,0,0
利比里亚,African Region,21,0,0
立陶宛,European Region,5,0,0
卢森堡,European Region,61,0,0
马来西亚,Western Pacific Region,9,0,0
马耳他,European Region,35,0,0
马提尼克岛,Region of the Americas,7,0,0
墨西哥,Region of the Americas,4081,52,34
摩纳哥,European Region,3,0,0
黑山,European Region,2,0,0
摩洛哥,Eastern Mediterranean Region,3,0,0
莫桑比克,African Region,1,0,1
尼泊尔,South-East Asia Region,1,0,0
荷兰,European Region,1299,0,0
新喀里多尼亚,Western Pacific Region,1,0,0
新西兰,Western Pacific Region,50,1,0
尼日利亚,African Region,843,0,9
挪威,European Region,105,0,0
阿曼,Eastern Mediterranean Region,3,0,0
巴基斯坦,Eastern Mediterranean Region,7,0,0
巴拿马,Region of the Americas,239,0,1
巴拉圭,Region of the Americas,126,0,0
秘鲁,Region of the Americas,3812,0,20
菲律宾,Western Pacific Region,9,0,0
波兰,European Region,220,0,0
葡萄牙,European Region,1190,0,3
波多黎各,Region of the Americas,211,150,0
卡塔尔,Eastern Mediterranean Region,5,0,0
韩国,Western Pacific Region,155,0,0
摩尔多瓦,European Region,2,0,0
罗马尼亚,European Region,47,0,0
俄罗斯联邦,European Region,4,0,0
圣马丁,Region of the Americas,1,0,0
圣马力诺,European Region,1,0,0
沙特阿拉伯,Eastern Mediterranean Region,8,0,0
塞尔维亚,European Region,40,0,0
新加坡,Western Pacific Region,52,0,0
斯洛伐克,European Region,16,0,0
斯洛文尼亚,European Region,47,0,0
南非,African Region,5,0,0
西班牙,European Region,7898,0,3
斯里兰卡,South-East Asia Region,4,0,0
苏丹,Eastern Mediterranean Region,19,0,1
瑞典,European Region,272,0,0
瑞士,European Region,579,0,0
泰国,South-East Asia Region,743,0,1
英国,European Region,3892,0,0
特立尼达和多巴哥,Region of the Americas,3,0,0
土耳其,European Region,12,0,0
乌克兰,European Region,5,0,0
阿联酋,Eastern Mediterranean Region,16,0,0
美国,Region of the Americas,31800,0,57
乌拉圭,Region of the Americas,19,0,0
委内瑞拉,Region of the Americas,12,0,0
越南,Western Pacific Region,147,0,6
